ID,Level,Topics,Topic Label,Conceptual Relation,Filipino Context
Z191,4,sauce-sauce max impression,Filipino Cuisine and Sauce,3,3
Z193,4,clue eastern item,Clues and Eastern Items,2,1
Z195,4,professional crap heart,Career and Criticism,1,1
Z194,4,sense influence massive,Massive Influence and Impact,3,1
Z196,4,leave sea josie,Leaving the Philippines and the Sea,2,2
Z188,4,mukbang san-diego pancit,Eating Shows and Filipino Cuisine,3,4
Z190,4,specialty hospital crab,Hospital and Crab Dishes,3,3
Z189,4,strategy speak project,Planning and Communication,4,1
Z168,4,catholic figure culture business talk sister,Catholicism and Cultural Discussions,4,4
Z169,4,rizal muslim manila-metro helpful morning,Philippine Culture & History ,3,5
Z170,4,fort church magellan,Historical Sites & Religion,5,5
Z171,4,notice lovely pot,Aesthetics & Decoration,2,1
Z172,4,ton grill pop metro-manila,Food & Dining in Manila,4,4
Z174,4,station green stall potato,Markets & Food Stalls,3,2
Z175,4,makati building coffee-shop ice-cream,Makati Lifestyle & Coffee Shops,5,5
Z173,4,force floor couple-hour direction hat dark,Navigation & Travel Time,2,1
Z178,4,sign lechon karaoke entire southeast,Leisure & Entertainment,4,5
Z177,4,bunch mommy future,Family & Parenthood ,2,1
Z176,4,excited nervous salamat,Emotions & Reactions,3,4
Z1186,4,baby late bgc safety,BGC City Life ,4,4
Z1189,4,marketplace kuya supermarket,Shopping & Commerce,5,4
Z1190,4,boy duck laundry,Farm & Animals,2,2
Z1192,4,damant luke balance milk tiny,"Luke Damant, Nutrition & Health",2,1
Z1191,4,office dream build,Work & Office Life,4,1
Z1185,4,plan option money-money tea coffee cafe shopping,Business & Finance,5,2
Z1188,4,quarter total tank,Measurement & Units,2,1
Z1187,4,traffic drop fine meeting,Traffic & Transportation,4,3
Z1199,4,game play pas,Games & Sports,4,2
Z1197,4,hong-kong justin memory,Travel & Tourism,3,2
Z1201,4,list comment answer,Online Interaction & Engagement,2,1
Z1200,4,platter seafood review yummy,Seafood Reviews,5,3
Z1202,4,blue-water swimming jellyfish rock secret-beach paddle-board beginner,Beach & Water Activities,5,4
Z1198,4,australian country australian-dollar app,Australia & Currency,4,1
Z1169,4,beach-beach blue pay sir brother bigger red,Travel & Scenic Destinations,2,3
Z1174,4,weather white luck,Weather & Luck,2,1
Z1172,4,park south walk meet chill wave mountain,Nature & Hiking ,4,3
Z1171,4,tourist boat motorbike rent shampoo lake touristy,Tourist Activities & Transport,3,3
Z1168,4,plane air main afternoon,Air Travel & Schedules,3,1
Z1173,4,friendly expensive support,Cost of Living & Quality,3,1
Z1167,4,airport local flight sunset coconut nature fresh,Airports & Nature,4,4
Z1170,4,drive road beach ride pool hour-hour destination,Road Trips & Travel,4,3
Z1195,4,owner huge paper king,Business & Wealth ,2,1
Z1193,4,market balut extra price size mission,Street Food & Exotic Eats ,3,5
Z1196,4,light deal real close normal door bed,Accommodation & Lifestyle,3,1
Z1194,4,month episode natural bike alina space town,Episodes & Documentaries ,3,1
Z1181,4,dangerous manila-manila view,Cityscape & Views,4,4
Z1183,4,sort grab kind vibe wrong,Daily Life & Perception,2,3
Z1184,4,cold warm jeepney phone,Public Transport & Gadgets,2,4
Z1180,4,balcony brand standard quick bathroom bedroom shower,Hotel or Lodging Amenities,5,1
Z1179,4,distance cream sticky matcha peaceful horse cent,Peaceful Places & Horses,3,2
Z1182,4,entrance cheap honest start,Entrance Fees & Honesty ,3,1
Z1178,4,meter yesterday leg,Measurement & Distance ,2,1
Z1177,4,epic swing jungle tour tide,Adventure & Jungle Tours,5,3
Z1176,4,insane drone palm-tree bread,Drone & Tropical Views,3,3
Z1175,4,resort sand activity super-super swim,Resorts & Swimming,5,4
Z1204,4,ridiculous service yellow,Customer Service Issues,2,1
Z1203,4,cebu-city cebu goodbye rainy-season cocktail margarita,Cebu City & Drinks,5,5
Z1205,4,crazy care sandy smile,Relaxation & Fun,3,2
Z1166,4,woman series adventure,Women & Adventure ,4,1
Z1165,4,cross makatus term,Geography & Place Names,2,2
Z1164,4,party bay cat netherland sweet-sour,Party & Social Gatherings,3,2
Z1157,4,husband-wife request tomorrow,Relationships & Future Plans,3,1
Z1155,4,queue tiger-sugar tree,Tiger Sugar Line,3,3
Z1156,4,castle blogger lapulapu,Laoulapu History & Blogging,2,5
Z1159,4,noise pack mask stay,Noise & Safety ,3,1
Z1160,4,pasta tourism stick,Food & Tourism,3,3
Z1158,4,load money straw,Money & Daily Expenses,2,3
Z1161,4,grass manok forest,Nature & Agriculture,4,4
Z1163,4,rain wet storm,Weather & Natural Elements,5,3
Z1162,4,hair black energy village buck decent chunk,Hair & Appearance,2,1
Z1214,4,powder pork-shoulder sticky-rice italian,Culinary Ingredients & Cooking,4,3
Z1215,4,milk-tea pearl bubble-tea worry market-manila,Bubble Tea & Markets,5,4
Z1213,4,hate fat cheesy,Food Preferences & Nutrition,3,1
Z1212,4,ramen dirty ferris-wheel,Japanese Food & Entertainment,3,2
Z1211,4,ceremony dress trade,Tradition & Celebrations,4,2
Z1210,4,court law social,Law & Society ,5,2
Z1208,4,ranch kilo orange pillow,Farming & Rural Life,2,2
Z1209,4,coke mess enjoy,Soft Drinks & Enjoyment ,3,2
Z1206,4,unit degree medical step level,Education & Medical Fields,4,1
Z1207,4,personal public medicine instagram,Public Health & Social Media,3,1
Z162,4,charge ice glass ski,Winter & Sports,4,1
Z164,4,watch screen jean,Technology & Fashion,3,1
Z163,4,lucky coffee-coffee gun,Luck & Caffeine Culture ,2,2
Z166,4,simple sausage pinoy-planet panda gram,Street Food & Culture,3,4
Z165,4,boil fish-sauce potato-potato,Cooking Methods & Food,4,4
Z167,4,longanisa pandesal dough parent exciting,Filipino Bread & Family Traditions,4,5
Z161,4,oyster-sauce lumpiang-shanghai oil insect foodie iconic,Filipino Cuisine & Iconic Foods ,4,5
Z160,4,crispy joke wonton,Crispy & Crunchy Foods,3,3
Z159,4,food traditional journey,Culinary Heritage & Travel ,4,2
Z134,4,variety meal complete,Balanced Meals & Nutrition ,5,2
Z131,4,comfort ticket learn,Comfort & Learning Experiences ,3,1
Z133,4,mount hike cassava visa,Travel & Immigration,3,3
Z132,4,ube cheer yam ube-ube strong,Filipino Desserts & Strength,5,5
Z137,4,soft ocean crunchy bus,Transportation & Snacks,2,2
Z136,4,sweetness sit burger-patty,Fast Food & Dining,3,1
Z135,4,vegetable boneless creamy,Dairy & Protein-Rich Foods,4,2
Z141,4,content strip child,Children & Online Content ,2,1
Z142,4,legend hide rocky-mountain actual province,Folklore & Geography,4,3
Z143,4,international easier formation,International Culture & Language Learning,3,1
Z138,4,shop mall avocado,Shopping & Food Trends,3,3
Z139,4,store minute-minute recommendation safe,Store & Customer Service ,3,2
Z140,4,grocery hold hungry,Groceries & Hunger,4,2
Z152,4,english tagalog accent europe,Language & European Influence,5,4
Z153,4,baguio challenge explore,Travel & Local Exploration,5,5
Z154,4,story school pocket scammer,Education & Scams ,3,2
Z155,4,bench tower breeze gate,Landmarks & Architecture ,4,2
Z157,4,planning vacation base,Vacation Planning,5,3
Z158,4,lunch trip rate rest,Dining & Meal Rates,4,2
Z156,4,block museum wall,Museums & Historic Sites,5,3
Z146,4,straight spain lip,Spanish Influence & Language,2,3
Z144,4,largest earth short,Geography & Scale,3,1
Z147,4,ship power war,Naval Warfare & Exploration ,5,3
Z145,4,blog fancy squid snack,Food Blogging & Seafood Cuisine,4,4
Z149,4,national language river population intramuro,National Identity & Geography,5,5
Z148,4,hundred zone coin china,Trade & Economy ,4,3
Z151,4,east capital hostel,Urban Travel & Accommodation ,5,2
Z150,4,thousand region fan,Regional Identity & Fan Culture,3,2
Z1145,4,season prawn hole,Seasonal Seafood & Marine Life,3,4
Z1147,4,typhoon shark island-tour arrive,Natural Disasters & Tourism ,5,5
Z1146,4,oslob whale-shark fall,Whale Shark Tourism in Oslob,5,5
Z1153,4,bowl difficult session,Sports & Training ,2,1
Z1152,4,kuala-lumpur chocolate mix,Malaysian Food Culture,3,2
Z1151,4,perfect beef break belly,Meat & Culinary Delights,4,2
Z1154,4,leaf dog alcohol,Nature & Leisure ,2,1
Z1149,4,job master sound,Career & Expertise,3,1
Z1148,4,brooklyn buddy community doctor,New York & Community Life ,3,1
Z1150,4,share oclock glad,Social Interaction & Time,2,1
Z1138,4,difference random weekend goodness clothes divisoria vlogger,Lifestyle & Local Markets ,3,4
Z1137,4,girlfriend relationship issue expat,Relationships & Cultural Differences,5,3
Z1136,4,asian boyfriend date,Asian Dating Culture,5,2
Z1142,4,movie artist event,Entertainment & Celebrity Events,5,3
Z1143,4,makeup etiquette connection,Beauty Standards & Social Norms,4,2
Z1144,4,tradition wonderful marriage team,Tradition & Marriage ,4,3
Z1140,4,corn barbecue atmosphere,Barbecue Culture & Outdoor Gatherings,4,4
Z1141,4,sell condo evening dollar,Real Estate & Evening Lifestyle,4,3
Z1139,4,taste-taste mall-mall spring-roll,Street Food & Local Markets,4,4
Z1131,4,spirit ground character mind gilbert,Spirituality & Mindset,2,1
Z1130,4,dive diving island-palawan,Scuba Diving in Palawan,5,5
Z1128,4,gas island-island nido,Fuel & Island Hopping ,3,5
Z1132,4,feed machine jacket hot-dog photo original common,Street Food & Photography,3,2
Z1127,4,boat-trip boat-tour palawan,Palawan Boat Tours,5,5
Z1129,4,wild crack boracay,Party & Wild Nightlife in Boracay,4,5
Z1126,4,drinker post nut peace,Drinking Culture & Relaxation,3,1
Z1124,4,wine cover bang,Wine & Sound,2,1
Z1125,4,laughter son coron,Family & Laughter ,3,5
Z1134,4,bakery taiwanese van,Bakery & Food Business,4,3
Z1135,4,eye san colour,Fashion & Aesthetics ,3,1
Z1133,4,cheaper budget siargao,Budget Travel to Siargao,5,5
Z1123,4,house plenty surprise,Housing & Unexpected Events,3,2
Z1122,4,steel body fish guest,Bodybuilding & Seafood Diet,2,1
Z1121,4,color plant beer finger bird knee,Nature & Beer Culture,2,1
Z1117,4,nido-palawan paradise red-bull height sick,El Nido & Adventure Tourism,3,5
Z1115,4,choose choice menu,Food Choices & Decision-Making,5,1
Z1116,4,ball curious situation,Curiosity & Situational Thinking ,2,1
Z1118,4,sandwich infinity ramadan,Cultural Cuisine & Ramadan Traditions,3,2
Z1119,4,purpose tonight frozen,Daily Routine & Rest ,1,1
Z1120,4,chair earlier wedding sleep background,Wedding Traditions & Sleep Patterns,3,1
Z1109,4,helicopter military navy,Military & Defense,5,2
Z1111,4,oreo center kid,Childhood & Popular Snacks,4,1
Z1110,4,puppy teacher cuisine,"Pets, Education, and Food",2,2
Z1107,4,cliff cebu-cebu kawasan-fall,Kawasan Fall and Nature in Cebu,5,5
Z1106,4,incredible single heavy,Music or Sports Achievement ,2,1
Z1108,4,neighborhood history global time,Community and History,3,1
Z1113,4,actor brad idol,Celebrity Culture,5,2
Z1114,4,maja tshirt mama,Filipino Culture and Clothing,3,3
Z1112,4,ganda sinigang host,Filipino Cuisine and Hosting ,4,5
Z1103,4,luzon baguio-city indonesia boba indonesian quiet drinking,Southeast Asian Beverages and Places,3,4
Z1105,4,busy reason jose,Busy Lifestyles and Personal Reflection,2,3
Z1104,4,north board selfie wind,Extreme Sports and Travel ,3,2
Z1101,4,gym follow scooter spot,Fitness and Transportation,3,2
Z1100,4,recommend advice land deep,Advice and Real Estate,3,1
Z1102,4,trust feel rib,Trust and Emotions,1,1
Z199,4,description button access,Technology and Accessibility,3,1
Z198,4,hop package stage,Travel and Adventure,4,1
Z197,4,lagoon week news,Nature and News Events,3,2
Z1246,4,jelly banana sweeter halo-halo dessert purple sisig,Filipino Desserts,5,5
Z1250,4,shrimp pudding flavorful adobo,Seafood and Filipino Cuisine,5,5
Z1249,4,familiar birthday apple,Personal Celebrations,3,1
Z1247,4,regular salty-salty garlic-flavor,Salty Food Preferences ,5,3
Z1248,4,jackfruit salad sunday,Tropical Fruits and Food Traditions,3,3
Z1245,4,sweet-sweet bean mayonnaise version,Unusual Food Pairings ,3,2
Z1239,4,mouth strange childhood brown-sugar,Childhood and Sweet Memories,3,2
Z1242,4,ketchup tomato fry spaghetti jollibee classic jollibee-jollibee,Fast Food in the Philippines,5,5
Z1240,4,today mushroom bacon dry soup salty spoon,Soups and Salty Foods,4,1
Z1237,4,spicy chili noodle pork-pork bite bun chewy,Spicy and Asian Noodles,5,2
Z1244,4,chain burger popular,Burger Food Chains ,4,2
Z1243,4,mcdonald scary essential,Fear and Essentials ,2,1
Z1241,4,flag pie hand peach taxi-driver yum mango,Fruit Pies and Travel ,3,4
Z1238,4,vinegar plate soy-sauce finish egg-egg smell chicken-chicken,Condiments and Filipino Cuisine,5,4
Z1236,4,garlic-rice sour chicken-joy,Filipino Breakfast,5,5
Z1235,4,rice-rice style viewer,Rice Culture and Media Consumption,2,3
Z1234,4,juicy life strawberry,Juicy Fruits and Lifestyle,3,2
Z1217,4,butter pinoy peanut,Filipino Snacks and Spreads,4,4
Z1218,4,wing dip-sauce workout,Wings and Exercise,3,1
Z1216,4,spicy-spicy cake lemon,Desserts and Citrus Flavors ,4,2
Z1219,4,wife window hmmm,Marriage and Daily Life,1,1
Z1220,4,davao davao-city john,Davao and Local Figures ,3,5
Z1221,4,pan bihon delicacy,Filipino Pancit Dish,5,5
Z1224,4,question korean chris,Korean Culture and Personalities,2,1
Z1222,4,live biggest control,Livestreaming and Control,1,1
Z1223,4,kitchen starbuck speed,Food and Coffee Culture,3,1
Z1228,4,gravy combination flavour picture,Food Photography and Flavor Combinations,4,3
Z1229,4,dip skin christmas,Christmas and Skincare,3,3
Z1232,4,chef dish pork-belly kamayan soggy,Filipino Kamayan Feasts ,5,5
Z1230,4,bone goal separate american atchara,Traditional and American Food Fusion,3,4
Z1233,4,tender broth seoul,Korean Soups and Comfort Food ,5,2
Z1231,4,feast lumpia banana-leaf,Filipino Fiesta Food ,5,5
Z1226,4,security pizza-hut mom,Security and Fast-Food Chains,2,1
Z1225,4,overload cry expectation,Emotional Overload and Expectations,2,1
Z1227,4,pizza scared dinner guide tropical,Dining and Food Experiences,3,2
Z23,3,native tarsier female book catch statue inch,Wildlife and Culture in the Philippines ,3,5
Z21,3,singer vocal performance sing voice celebrity bell,Music and Celebrity Performances,5,2
Z22,3,ariana tnt-boy world talent male record note,Global Talent Competitions,5,5
Z26,3,filipina blow win mother tiktok band bonfire,Filipino Achievements in Entertainment,3,3
Z25,3,holy jame rich pick corner lang buko,"Wealth, Religion, and Filipino Culture",1,4
Z24,3,miguel concert dance sarah stan film cash,Concerts and Performing Arts,4,3
Z29,3,breakfast fruit pineapple drink sky bit slow,Breakfast and Tropical Fruits,4,3
Z27,3,roll carrot plastic tara recipe moment brown,Food Recipes and Cooking Essentials,3,2
Z28,3,onion pepper canton veggie cook chicken-head intestine,Filipino Cuisine and Exotic Dishes,5,4
Z225,3,max-chicken max-style-chicken garlic cooky medium oven night-market,Max's Chicken and Night Markets ,5,5
Z226,3,chocolate-hill panglao sun bridge bohol bohol-bohol hill,Bohol Tourist Attractions,5,5
Z224,3,class cruise mexican change famous special camera,Cruises and Photography,3,1
Z228,3,funny sauce-sauce malaysia singapore max clue eastern,Southeast Asian Food and Humor,3,2
Z229,3,sense influence massive leave professional sea crap,Professionalism and the Ocean ,2,1
Z227,3,strategy specialty speak hospital crab project san-diego,Specialty Dishes and Hospitals,2,2
Z221,3,rizal muslim manila-metro notice catholic figure fort,Philippine History and Religion ,5,5
Z222,3,ton force grill station floor pop couple-hour,Casual Dining and Entertainment,3,1
Z223,3,sign excited bunch lechon mommy karaoke future,Lechon and Filipino Celebrations,4,5
Z255,3,plan option money-money baby tea traffic drop,"Money, Family, and Traffic",2,2
Z257,3,australian country game blue-water hong-kong swimming list,Travel and Australian Tourism,4,1
Z252,3,airport drive local beach-beach flight plane blue,Airport and Beach Travel,5,3
Z256,3,month episode market natural bike owner alina,Markets and Local Businesses,2,2
Z254,3,balcony brand meter distance standard quick cream,Architecture and Real Estate ,3,1
Z253,3,resort insane sand activity super-super epic drone,Resorts and Adventure Tourism,5,4
Z258,3,cebu-city crazy cebu ridiculous goodbye service yellow,Cebu City Tourism and Services,4,5
Z251,3,woman series adventure party bay cat cross,Adventure and Nightlife,3,2
Z248,3,queue tiger-sugar tree husband-wife castle request blogger,Queueing and Tourist Attractions ,3,3
Z249,3,noise pack load pasta mask money tourism,Tourism and Economy ,3,2
Z250,3,hair black rain energy grass wet village,Weather and Rural Life ,3,2
Z261,3,hate fat milk-tea powder cheesy pork-shoulder sticky-rice,Food and Texture Preferences ,3,2
Z260,3,court law ceremony social dress trade ramen,"Law, Ceremonies, and Trade ",3,1
Z259,3,unit personal degree medical step coke public,Healthcare and Public Services ,2,1
Z219,3,charge ice glass ski lucky watch coffee-coffee,Beverages and Luck,2,1
Z220,3,simple sausage fish-sauce boil pinoy-planet potato-potato longanisa,Filipino Sausages and Cooking,4,5
Z218,3,crispy lumpiang-shanghai oyster-sauce food oil joke insect,Filipino Fried Foods,4,5
Z210,3,ube comfort ticket learn cheer variety yam,Comfort Foods and Filipino Yam (Ube),3,5
Z211,3,soft vegetable sweetness ocean crunchy sit boneless,Texture and Seafood Dishes ,2,2
Z213,3,legend hide international rocky-mountain easier content actual,International Travel and History,3,1
Z212,3,store shop minute-minute mall recommendation avocado grocery,Shopping and Grocery Trends ,4,2
Z216,3,english story tagalog accent baguio school challenge,Language and Education ,4,5
Z217,3,bench tower planning breeze block gate museum,Urban Planning and Museums,3,2
Z214,3,blog ship largest fancy earth squid straight,Luxury Travel and Seafood,2,2
Z215,3,national language thousand hundred river population east,Geography and Demographics,4,3
Z245,3,typhoon oslob whale-shark season fall shark island-tour,Natural Disasters and Marine Tourism,5,5
Z247,3,kuala-lumpur bowl perfect chocolate leaf mix beef,Malaysian and Southeast Asian Cuisine ,3,1
Z246,3,job master share brooklyn sound buddy community,Job Market and Brooklyn Community ,3,1
Z242,3,girlfriend asian relationship issue boyfriend expat difference,Relationships and Cultural Differences,5,2
Z244,3,makeup movie etiquette connection tradition artist wonderful,Beauty and Social Etiquette ,3,2
Z243,3,corn taste-taste sell barbecue mall-mall atmosphere evening,Street Food and Grilled Dishes ,4,3
Z240,3,boat-trip boat-tour palawan feed spirit gas machine,Travel & Adventure,4,5
Z239,3,laughter drinker post wine nut peace son,Social & Leisure ,3,2
Z241,3,cheaper bakery budget taiwanese van eye siargao,Food & Budget Travel ,3,5
Z238,3,steel color body fish plant guest house,Architecture & Nature,2,2
Z236,3,nido-palawan paradise red-bull height sick ball choose,Tourism & Lifestyle ,3,5
Z237,3,purpose sandwich chair tonight infinity earlier frozen,Food & Daily Life,1,1
Z234,3,puppy oreo helicopter military navy teacher center,Animals & Professions ,2,1
Z233,3,cliff incredible cebu-cebu kawasan-fall neighborhood single heavy,Travel & Landmarks ,4,5
Z235,3,ganda maja actor sinigang host tshirt brad,Entertainment & Food ,3,5
Z232,3,north board busy luzon baguio-city selfie wind,Geography & Lifestyle ,4,5
Z231,3,gym follow scooter trust recommend spot feel,Fitness & Lifestyle ,2,1
Z230,3,hop description lagoon button week access package,Travel & Booking ,2,2
Z270,3,sweet-sweet jelly banana sweeter halo-halo bean purple,Food & Desserts,5,5
Z269,3,vinegar spicy plate mouth soy-sauce chili noodle,Spicy & Savory Foods,5,3
Z268,3,rice-rice garlic-rice juicy style life strawberry sour,Rice & Filipino Cuisine ,4,3
Z262,3,butter spicy-spicy cake lemon wing pinoy peanut,Sweets & Food,4,3
Z263,3,davao davao-city pan john wife bihon delicacy,Southeast Asia & Delicacies,3,5
Z264,3,live biggest control kitchen starbuck speed question,Technology & Speed ,2,1
Z266,3,gravy dip combination flavour picture skin christmas,Flavors & Cooking,3,2
Z267,3,feast chef dish bone lumpia banana-leaf pork-belly,Filipino Cuisine & Feasts ,5,5
Z265,3,security pizza overload cry pizza-hut expectation mom,Food Chains & Expectations ,2,1
Z31,2,ariana tnt-boy singer world talent male record,Music & Talent ,5,4
Z32,2,filipina holy blow miguel win concert mother,Concerts & Entertainment ,3,4
Z33,2,roll onion breakfast carrot pepper canton veggie,Vegetables & Cooking ,4,3
Z38,2,class cruise mexican chocolate-hill panglao change famous,Travel & Landmarks ,3,5
Z39,2,sense funny influence sauce-sauce massive malaysia leave,Culture & Influence ,2,1
Z37,2,ton rizal muslim manila-metro grill force station,History & Religion ,3,5
Z317,2,airport month drive local plan beach-beach resort,Transportation & Beaches,5,3
Z316,2,noise queue pack load pasta hair mask,Noise & City Life ,2,1
Z318,2,court unit hate personal law medical degree,Law & Medicine ,4,1
Z36,2,charge ice glass ski crispy oyster-sauce lumpiang-shanghai,Drinks & Ice ,3,4
Z34,2,ube store comfort soft ticket learn vegetable,Comfort Food & Learning ,3,5
Z35,2,blog bench ship national largest fancy tower,Travel & Landmarks ,3,1
Z315,2,job typhoon oslob master whale-shark brooklyn season,Jobs & Travel ,3,5
Z314,2,girlfriend asian relationship issue boyfriend date expat,Relationships & Dating ,5,1
Z313,2,boat-trip boat-tour palawan spirit feed gas machine,Travel & Adventure ,4,5
Z312,2,steel color body purpose sandwich plant fish,Materials & Nature ,2,1
Z311,2,cliff ganda incredible puppy oreo cebu-cebu maja,Landmarks & Celebrities ,3,5
Z310,2,north gym board follow busy scooter luzon,Urban & Mobility ,3,5
Z321,2,vinegar sweet-sweet rice-rice spicy jelly plate garlic-rice,Food & Cooking,5,4
Z319,2,butter spicy-spicy davao cake lemon wing davao-city,Filipino Desserts & Drinks,3,5
Z320,2,gravy dip combination flavour feast chef bone,Cooking & Taste,5,4
Z41,1,ariana tnt-boy singer world talent male record,Music & Performance,5,4
Z43,1,ton rizal muslim manila-metro class grill force,Philippines & Culture,3,5
Z46,1,airport month noise drive local plan beach-beach,Beaches & Travel,4,3
Z42,1,ube blog store comfort bench soft ship,Comfort Food & Shopping,3,4
Z45,1,boat-trip boat-tour palawan spirit feed gas machine,Island Travel & Nature,4,5
Z44,1,steel north gym color purpose body board,Construction & Urbanism,2,1
Z47,1,gravy dip combination vinegar sweet-sweet rice-rice flavour,Food & Flavors,5,4
